*******************************************************************
 MagChain 24Nov2011
 web: www.icmab.es/softmattertheory/
 Please include this reference in published work using MagChain:
 arXiv:1111.5784 [cond-mat.soft]
*******************************************************************

initial number of particles: 500
initial number of objects: 500
timestep: 0.1
simulation box: 100 100 200

volume (length unit: diameter colloids) = 2e+06
number density (Num parts./Volume) = 0.00025
volume fraction = 0.0001309

attraction radius values:
(1) 0.983094
(2) 1.12781
(3) 1.19748
(4) 1.23785
(5) 1.26372
(6) 1.28133
(7) 1.2939
(8) 1.30312
(9) 1.31014
(10) 1.31562
(11) 1.32005
(12) 1.32351
(13) 1.32648
(14) 1.32881
(15) 1.33082
(16) 1.33244
(17) 1.33389
(18) 1.33515
(19) 1.3363
(20) 1.33723
(21) 1.33803
(22) 1.33868
(23) 1.33937
(24) 1.33991
(25) 1.34042


histogram size 20
save stats every 10 timestep(s)
save trajectory every 100 timestep(s)
save restart file every 100 timestep(s)
save histogram every 100 timestep(s)

production limit: 1000

##### end initialization #####

Equilibration for 0 timesteps...

Elapsed Equilibration time: 0 seconds

Production for 1000 timesteps...
timestep:10; A:496; N:1.00806; S:1.01600; ET:0.00000;
timestep:20; A:493; N:1.01420; S:1.02800; ET:1.00000;
timestep:30; A:489; N:1.02249; S:1.04400; ET:1.00000;
timestep:40; A:489; N:1.02249; S:1.04400; ET:2.00000;
timestep:50; A:487; N:1.02669; S:1.05200; ET:2.00000;
timestep:60; A:484; N:1.03306; S:1.06400; ET:3.00000;
timestep:70; A:480; N:1.04167; S:1.08400; ET:3.00000;
timestep:80; A:478; N:1.04603; S:1.09600; ET:3.00000;
timestep:90; A:477; N:1.04822; S:1.10000; ET:4.00000;
timestep:100; A:477; N:1.04822; S:1.10000; ET:4.00000;
timestep:110; A:473; N:1.05708; S:1.11600; ET:5.00000;
timestep:120; A:471; N:1.06157; S:1.12400; ET:5.00000;
timestep:130; A:469; N:1.06610; S:1.13200; ET:6.00000;
timestep:140; A:469; N:1.06610; S:1.13200; ET:6.00000;
timestep:150; A:467; N:1.07066; S:1.14400; ET:7.00000;
timestep:160; A:467; N:1.07066; S:1.14400; ET:7.00000;
timestep:170; A:466; N:1.07296; S:1.14800; ET:8.00000;
timestep:180; A:465; N:1.07527; S:1.15200; ET:8.00000;
timestep:190; A:464; N:1.07759; S:1.15600; ET:8.00000;
timestep:200; A:461; N:1.08460; S:1.17200; ET:9.00000;
timestep:210; A:459; N:1.08932; S:1.18000; ET:9.00000;
timestep:220; A:455; N:1.09890; S:1.20000; ET:10.00000;
timestep:230; A:454; N:1.10132; S:1.20800; ET:10.00000;
timestep:240; A:451; N:1.10865; S:1.22400; ET:10.00000;
